Date,Author,Headline
09/21/2017,Jay Shah,Veteran CFO Bruce Felt Joints Personal Capital's Board of Directors
09/19/2017,Amin Dabit,When Does a 529 Make Sense?
09/15/2017,Brendan Erne,The Verdict on Apple's Newest Releases
09/14/2017,Amin Dabit,5 Tips on Saving for College and Retirement
09/12/2017,Jacob Jaegle,When to Start Saving for College
09/11/2017,Maxime Rousseau,How Does the Equifax Breach Affect Me?
09/08/2017,Craig Birk,Bill to Raise Debt Ceiling Surprisingly Passes
09/06/2017,Amin Dabit,How to Pay for Kids' College
09/05/2017,Amin Dabit,Should I Have Long-Term Care Insurance?
09/01/2017,Craig Birk,Tax Reform Plan Details in Coming Weeks
08/31/2017,Amin Dabit,Should I Have Disability Insurance?
08/30/2017,Jay Shah,Another Milestone for Personal Capital
08/29/2017,Amin Dabit,Do I Need Property Insurance?
08/28/2017,Amin Dabit,August is National Make a Will Month
08/25/2017,Amin Dabit,Amazon to Cut Prices at Whole Foods
08/24/2017,Amin Dabit,5 Tips to Prevent Recency Bias from Harming Your Portfolio
08/22/2017,Jacob Jaegle,CASE STUDY: Permanent Insurance and a Down Payment
08/21/2017,Craig Birk,Is the Market at its Peak? Why Your Portfolio Should be Diversified
08/18/2017,Brendan Erne,Investors Skittish as Market Reaches New Highs & Abnormal Valuations
08/17/2017,Jesse Piburn,Do I Have to Buy an Annuity?
08/15/2017,Jesse Piburn,Whole Life Insurance vs. Universal Life Insurance
08/11/2017,Craig Birk,97 IPOs This Year So Far - What This Means for Start Ups
08/10/2017,Matt Lenore,Term vs. Permanent Life Insurance
08/08/2017,Amin Dabit,Life Insurance - How Much is Enough?
08/04/2017,Craig Birk,Apple Services Generate Impressivd $7.3B in Revenue
08/01/2017,Jay Shah,Personal Capital's Rapid Growth Attracts More Capital
07/28/2017,Amin Dabit,Retirement Goals by the Decade
07/28/2017,Jacob Jaegle,Leveraging Credit Card Rewards for Your Dream Vacation
07/27/2017,Amin Dabit,The Transfer of Wealth: 5 Financial Tips for Your Millennial
07/25/2017,Amin Dabit,Over a Month After the Fiduciary Rule's Phase 1 Deadline
07/21/2017,Craig Birk,"GDP Debt Percentage Crosses 100%, More Chipotle-Related Illnesses"
07/19/2017,Michelle Brownstein,The Benefits of One Manager for All Your Investment Accounts
07/17/2017,Amin Dabit,Living Happily Ever After: Finances After the Wedding
07/14/2017,Craig Birk,Investors Interpret Fed Chairwoman's Comments as Slower-Than-Expected Fiscal Tightening
07/14/2017,Jim Del Favero,Introducing Custom Categories
07/11/2017,Amin Dabit,Walking Down the Aisle: Wedding Finances
07/10/2017,Craig Birk,"Q2 2017 Review: Markets Focus on Corporate Growth, Not Politics"
07/07/2017,Brendan Erne,Volvo's EV Announcement Means Competition Is Heating Up
07/05/2017,Amin Dabit,"Financial Considerations Before Saying ""I Do"""
06/30/2017,Craig Birk,No Fireworks This Week As Q2 Closes
06/29/2017,Matt Lenore,"Bitcoin, ICOs & Your Portfolio"
06/27/2017,Amin Dabit,"Guide: Marriage, Weddings and Money"
06/23/2017,Craig Birk,Equity Market has a Slow Week
06/22/2017,Michelle Brownstein,How Cash Can Negatively Impact Your Portfolio
06/20/2017,Craig Birk,Is P2P Lending a Good Way to Make Money During Retirement?
06/17/2017,Craig Birk,Fed Hikes Rates; Amazon Buys Whole Foods
06/16/2017,Palmi Moller,6 Financial Questions to Ask Your Dad on Father's Day
06/13/2017,Amin Dabit,Guide: Financing a Vacation Home
06/12/2017,Jay Shah,Going Beyond the Fiduciary Rule to Protect Investors: Ask the Right Questions
06/09/2017,Brendan Erne,"The Impact of ""Super Thursday"""
06/09/2017,Jay Shah,Video: personal Capital and the Fiduciary Standard
06/08/2017,Amin Dabit,Values-Based Investing: Put Your Money Where Your Mouth Is
06/07/2017,Amin Dabit,Guide: Buying a Vacation Home
06/06/2017,Bill Harris,Luis A. Aguilar Joins Personal Capital's Board of Advisors
06/02/2017,Brendan Erne,Is an Uber IPO on the Horizon?
05/31/2017,Amin Dabit,How to Build & Sustain the Retirement Lifestyle You Want
05/26/2017,Amin Dabit,The Fiduciary Rule Marches On
05/25/2017,Fritz Robbins,Top 10 Tips for Keeping Your Financial Accounts Safe
05/24/2017,Jay Shah,Report: Americans Struggle to Trust Financial Service Providers
05/23/2017,Amin Dabit,Fiduciary Snapshot: The Future of the Rule
05/19/2017,Craig Birk,Politics & Markets Are Unpredictable
05/17/2017,Fritz Robbins,WannaCry Security Statement
05/16/2017,Amin Dabit,Do You Suffer From Risk Aversion?
05/12/2017,Craig Birk,Low Market Volatility For Now
05/11/2017,Palmi Moller,It's Not You. It's My Money: Breaking Up With Your Broker
05/05/2017,Craig Birk,"Investing in Stocks Means Companies, Not Politics"
05/04/2017,Amin Dabit,Personal Capital Retire Smart Guide - 65 Expert Tips
04/29/2017,Amin Dabit,Market Recap - A New Tax Plan
04/27/2017,Mike Pasieka,The Effect of Currency on International Returns
04/24/2017,Bill Harris,Passing the Torch
04/21/2017,Craig Birk,Market Recap - Bonds & Rising Interest Rates
04/17/2017,John Schneider,Tax Concisderations Same-Sex Spouses Must Now Consider
04/11/2017,Craig Birk,"Q1 Review: Politics, Populism, and Your Pocketbook"
04/07/2017,Brendan Erne,Market Recap - Spotligt on the Fed as Q2 Kicks Off
04/05/2017,Personal Capital,Facebook Live Video: Reuters Money & Bill Harris Chat Taxes
04/04/2017,Catherine Alford,4 Tax Tips Every Self-Employed Entrepreneur Needs to Know
03/31/2017,Craig Birk,Market Recap - Possibility of Fiscal Stimulus on the Horizon
03/28/2017,John Schneider,5 Money Moves to Make Every Tax Season
03/27/2017,Amin Dabit,Have Stock Options? A Planned Strategy Will Help Reduce Big Tax Bills
03/24/2017,Brendan Erne,Market Recap - Time for a Financial Spring Cleaning
03/24/2017,Amin Dabit,Efficient Investments to Reduce Your Tax Bill
03/23/2017,Michael Ruderman,From The New York Times: Big Banks vs. Tech
03/23/2017,Craig Birk,Finding the Sweet Spot with Tax Location
03/22/2017,Amin Dabit,The Capital Gains Tax
03/21/2017,Amin Dabit,Overlooked Tax Deductions & Credits
03/20/2017,Amin Dabit,Is an Annuity Right For You?
03/17/2017,Craig Birk,Market Recap - Interest Rates & Politics Across Europe
03/15/2017,Amin Dabit,Get Schooled on Taxes & Education
03/13/2017,Amin Dabit,"Legacy Planning: Estate Tax, Gift Tax & Trusts"
03/13/2017,Amin Dabit,Health Care and Tax Advantages
03/13/2017,Amin Dabit,Taxes & Your Retirement Accounts
03/10/2017,Craig Birk,Market Recap - Some Lessons Learned from 1999
03/08/2017,Catherine Alford,The Pros & Cons of Hiring a Tax Professional
03/03/2017,Amin Dabit,Market Recap - It's Tax Time!
02/28/2017,Chris Carucci,Rental Property as Investments
02/28/2017,Personal Capital,Bloomberg Video: Personal Capital CEO Says Banks Need to Change Attitude
02/25/2017,Fritz Robbins,CloudFlare Security Notice
02/24/2017,Brendan Erne,Market Recap - Should You Keep Bonds in Your Long-Term Portfolio?
02/22/2017,Michelle Brownstein,5 Ways to Safeguard Your Finances in 2017
02/20/2017,Bill Harris,The Big Banks' Plan Would Weaken Cybersecurity of Consumer Bank Accounts
02/17/2017,Craig Birk,Market Recap - The Bull Marches on with Record High U.S. Stocks
02/13/2017,John Schneider,How Marriage Can Impact Your Taxes
02/10/2017,Brendan Erne,Market Recap - The Fiduciary Rule's Death Would Be a Sad Day
02/09/2017,Bill Harris,"The Fiduciary Rule Lives On in Texas, Only to Die in Washington, DC"
02/09/2017,Bill Harris,Consumers Scream About Fiduciary Rule and Section 1033 of Dodd-Frank
02/08/2017,Zach Lott,Retiring Together Based on Your Life Expectancy
02/03/2017,Bill Harris,"Bill Harris, former CEO of Intuit, Calls ""Baloney"" on J.P. Morgan and Intuit"
02/03/2017,Bill Harris,"""You Might Die Younger"" Without the Fiduciary Rule"
02/03/2017,Craig Birk,Market Recap - Executive Actions Planned for Dodd-Frank & Fiduciary Rule
01/31/2017,Personal Capital,Report: Is Your Nest Egg Growing as Fast as it Should Be?
01/27/2017,Craig Birk,Market Recap - Corporate Earnings Seem Good So Far
01/25/2017,Personal Capital,Fiduciary Snapshot: Retirement Savings in 401k's are Under Attack
01/23/2017,Zach Lott,Taxes in Retirement
01/20/2017,Brendan Erne,Market Recap - Keeping an Eye on Trump's Impact on the Market
01/19/2017,Personal Capital,Infographic: Negotiating a Higher Starting Salary
01/18/2017,Personal Capital,Money Magazine’s Deep Dive on Digital Financial Tools
01/17/2017,Bill Harris,"Morgan Stanley, Citigroup Overcharge Clients: Mistakes or Policies?"
01/16/2017,Personal Capital,Fiduciary Snapshot: The Latest on the Fiduciary Rule
01/13/2017,Craig Birk,Market Recap – International Stocks in the New Year
01/13/2017,Bill Harris,SEC Announces Increased Scrutiny of Robo-Advisors
01/11/2017,Bill Harris,Personal Capital Welcomes Paul Desmarais III to Board of Directors
01/10/2017,Personal Capital,3 Ways Wealthy People Leverage Their Credit
01/10/2017,Craig Birk,"Q4 Review: Trump, Taxes and Ticker Gains"
01/06/2017,Amin Dabit,Market Recap – Time To Look At Your Annual Contributions
01/03/2017,Personal Capital,"Saving $18,000 in 2017 – 4 tips to max out your 401k"
12/30/2016,Craig Birk,Market Recap – An Interesting New Year Ahead of Us
12/27/2016,Michael Ruderman,"I’m Not Rushing to Pay Off My Student Loans, and You Shouldn’t Either"
12/23/2016,Craig Birk,What Do Rising Federal Interest Rates Mean for You?
12/23/2016,Craig Birk,Market Recap – The Housing Market Remains “Unsung Hero”
12/22/2016,Bill Harris,"Your 2017 Financial Plan – A New Year, A New You"
12/16/2016,Craig Birk,Market Recap – Investors React to Interest Rate Hike by Fed
12/15/2016,Bill Harris,Personal Capital Closes Out 2016 with $3.4 Billion in AUM and $100 Million in Financing
12/09/2016,Craig Birk,Market Recap – Small-Cap Stocks Post The Largest Gains
12/08/2016,Bill Harris,The Best Way to Make Money in 2017: Spend in 2016
12/05/2016,Erin Lowry,"Stop Stressing About Your Credit Score, Read Your Report"
12/02/2016,Craig Birk,Market Recap – International Stocks Recover From U.S. Election
11/29/2016,Tess Wicks,How to Impress Your Family with Answers to These 5 Financial Questions
11/28/2016,Catherine Alford,Holiday Tips: How to Buy Your Kids Gifts That Keep on Giving
11/28/2016,Holly Johnson,7 Holiday Shopping Tips That Will Save You Money
11/25/2016,Craig Birk,"Market Recap – US Stocks At An All Time High, Again"
11/23/2016,Catha Mullen,How to Hack Charitable Giving
11/18/2016,Craig Birk,Market Recap: Post-Election US Stocks Lead Asset Class
11/16/2016,Zach Lott,The 6 Most Common Behaviors That Are Hurting Your Investment Returns
11/11/2016,Brendan Erne,Market Recap – Presidential Election Edition
11/10/2016,Personal Capital,ELECTION REPORT: Trump’s Plans for Your Money
11/04/2016,Brendan Erne,Market Recap – UK Court Rules Brexit Needs Approval
10/28/2016,Craig Birk,Market Recap – AT&T Buying Time Warner
10/27/2016,Bill Harris,Personal Capital Welcomes Eric Weiss As CMO
10/26/2016,Personal Capital,Hillary vs. Donald: The 2016 Election & Your Retirement
10/25/2016,Craig Birk,Market Outlook: What to Expect After Election Day
10/24/2016,Holly Johnson,"Election Poll: Voters Ignore What They Can Control, Worry About Everything Else"
10/21/2016,Brendan Erne,Market Recap – Tesla Motors and Saudi Arabia
10/19/2016,Tamar Kuyumjian,What Would Willy Wonka Do? 5 Wonka-isms That Are Actually About Money
10/17/2016,Marianne Ahlmann,How Much Money Are NFL Teams Really Worth?
10/15/2016,Craig Birk,Market Recap – Dollar Rises Against The Pound And Euro
10/13/2016,Tamar Kuyumjian,How to Hack Sports Season Like A Pro
10/12/2016,Craig Birk,Q3 Review: Sometimes Boring Is Good
10/07/2016,Craig Birk,Market Recap – British Pound Falls Following Brexit
10/04/2016,Grayson Bell,Retirement Lessons Learned From Botching Savings Early In My Career
09/30/2016,Michelle Brownstein,Look Out! Retirement Mistakes are Easy to Make
09/30/2016,Brendan Erne,Market Recap – All Eyes On Deutsche Bank
09/29/2016,Erin Lowry,Trend Spotting: What Is Early Retirement?
09/27/2016,Michael Ruderman,Securing an Early Retirement: The Blogosphere’s 7 Best Lessons
09/24/2016,Craig Birk,Market Recap – The Fed and Bank of Japan
09/20/2016,Personal Capital,How Much Are Primetime TV Stars Worth?
09/16/2016,Craig Birk,Market Recap – Department of Justice Demands Deutsche Settles
09/14/2016,Bill Harris,Personal Capital Hits $3 Billion in Assets Under Management
09/10/2016,Craig Birk,Market Recap – Global Equity Market Declines
09/02/2016,Brendan Erne,Market Recap – 60-Day Rollover Requirement
09/01/2016,Michelle Brownstein,30-Day Money Cleanse – Week 4: Future-Proof Your Gains
09/01/2016,Michelle Brownstein,30-Day Money Cleanse – Week 3: Rev-Up Your Finances
09/01/2016,Michelle Brownstein,30-Day Money Cleanse – Week 2: Devise a Plan and Take Advantage
09/01/2016,Michelle Brownstein,30 Day Money Cleanse – Week 1: Awareness
08/31/2016,Personal Capital,The Growing Back-To-School Spending Report: By The Numbers
08/30/2016,Holly Johnson,7 Ways To Save On Back-To-School Expenses
08/26/2016,Brendan Erne,Market Recap – US Labor Force Getting Stronger
08/24/2016,Catherine Alford,Are Parents Going Overboard Spending On Extracurricular Activities?
08/19/2016,Craig Birk,Market Recap – Time is the Greatest Ally
08/19/2016,Julie Mayfield,3 Things You Didn’t Know About 529 College Savings Plans
08/17/2016,Julie Mayfield,Last Minute Money Lessons For Your College-Bound Kid
08/12/2016,Craig Birk,Market Recap – A Mountain of Money is Searching for a More Appealing Home
08/10/2016,Tamar Kuyumjian,The Olympic Effect on Your Stock Portfolio
08/08/2016,Bill Harris,Why you should ditch your mutual funds now
08/05/2016,Craig Birk,Market Recap – Guessing the Top of a Bull Market is a Fool’s Game
08/05/2016,Tamar Kuyumjian,How to Ensure Your Finances Deserve a Gold Medal
08/02/2016,Personal Capital,How Much Do Olympic Athletes Earn? Find Out Which Olympians Have The Highest Net Worth
08/01/2016,Susan Surapruik,The Power of Encouraging Women Who Code
07/29/2016,Matt Lenore,"Market Recap – As expected, Brexit gives the Fed pause. But for how long?"
07/29/2016,Michael Ruderman,Top 5 Lessons Pokémon Go Can Teach Millennials About Money
07/27/2016,Mrs. Frugalwoods,7 Ways to Save On Your Summer Vacation
07/22/2016,Craig Birk,Market Recap – Brexit Provides Wake-Up Call for Clinton Supporters
07/20/2016,Holly Johnson,6 of the Most Affordable Family Vacations
07/15/2016,Craig Birk,Market Recap – A Compelling Case for Modest Allocation
07/13/2016,Catherine Alford,Money Advice for First-Time Millennial Parents
07/08/2016,Craig Birk,Market Recap – A Strange New World
07/06/2016,Holly Johnson,6 Best Travel Reward Credit Cards
07/02/2016,Kathie Chuang,5 Steps to Debt-Free Financial Freedom
07/01/2016,Craig Birk,Market Recap – What Brexit?
06/29/2016,Marianne Ahlmann,"Meet Our Summer Interns, Class of 2016"
06/24/2016,Craig Birk,Market Recap – Brexit Stirs Up Uncertainty
06/24/2016,Bill Harris,Personal Capital Welcomes Mike Armsby As CFO
06/22/2016,Holly Johnson,Does Frugality Matter If You’re Rich?
06/18/2016,Bill Harris,5 Pieces of Advice I Learned From My Father
06/17/2016,Brendan Erne,Market Recap – Brexit Fears Fuel Market Jitters
06/16/2016,Natalie Bacon,Who Pays for What at a Wedding?
06/10/2016,Brendan Erne,Market Recap – Positive US Jobs Report Drives Dollar Higher
06/09/2016,Erin Lowry,How To Afford Wedding Season This Summer
06/02/2016,Craig Birk,Market Recap – Weak Jobs Report Could Deter The Fed Raising Interest Rates
06/01/2016,Erin Lowry,How To Plan A Bachelor or Bachelorette Party on a Budget
05/27/2016,Matt Lenore,Market Recap – Twilio Filing Offers Hope For Tech IPOs in 2016
05/27/2016,Bill Harris,7 Factors That May Negatively Affect Your Retirement Plan
05/25/2016,Bill Harris,4 Reasons You Should Plan For Retirement Now
05/20/2016,Craig Birk,Market Recap – A Choppy Week For Stocks
05/19/2016,Bill Harris,A Tailwind for Growth: Personal Capital Raises $75 Million
05/13/2016,Craig Birk,Market Recap – Consumer Stocks Hit Hard
05/11/2016,Marianne Ahlmann,Wedding Budget 101: How Much Weddings Cost vs How Much You Should Spend
05/06/2016,Craig Birk,Market Recap – International Stocks Down 2.3%
05/04/2016,Bill Harris,How Hidden Fees Can Ruin Your Retirement Savings
04/29/2016,Craig Birk,Market Recap – Disappointing Earnings From Apple & Slow GDP Growth
04/27/2016,Rebekah,To Buy or Rent? How To Decide Which Is Right For You
04/22/2016,Craig Birk,"Market Recap – Netflix, Microsoft, Starbucks and Alphabet Fall"
04/22/2016,Satinder Haer,Want to Buy a Home in a Cash Buyer Market? Here’s what you Need to Know.
04/21/2016,Bill Harris,Millennials and Retirement – Is There Hope?
04/20/2016,Julie Mayfield,What Is A Reverse Mortgage And Is It Right For You?
04/15/2016,Craig Birk,Market Recap – Lack of Surprises in Q1 Earnings Yield Positive Start in Q2
04/14/2016,Holly Johnson,4 Ways to Save Money on a New House
04/12/2016,Marianne Ahlmann,Why We’re Welcoming The New Fiduciary Rule Standards
04/08/2016,Brendan Erne,Market Recap – Riding The Roller Coaster Of Market Volatility
04/07/2016,Craig Birk,Q1 2016 Review: A White Knuckle Ride Of Mixed Emotions
04/06/2016,Mrs. Frugalwoods,Open House Etiquette For Home Buyers: Top 6 Tips
04/01/2016,Craig Birk,Market Recap – Stocks Are Up For The Week
03/30/2016,Annalise Moberg,Pro Tips For Managing Your Small Business Cash Flow
03/24/2016,Craig Birk,Market Recap – Talk Of 2016 Fed Interest Rate Increases Continues
03/23/2016,Mrs. Frugalwoods,Financial Spring Cleaning: Top 4 Ways to Save Money Each Month
03/18/2016,Matt Lenore,"Market Recap – Dovish Fed Signals Caution, Markets Celebrate"
03/16/2016,Marianne Ahlmann,Retirement Planning in your State: How Do You Stack Up?
03/15/2016,Patrick Collins,What The Ides of March Could Mean For Your Investments
03/11/2016,Craig Birk,Market Recap – Euro Central Bank Drives Continued Stock Gains With Lower Rates
03/10/2016,Marianne Ahlmann,Consumer Spending Stats: Do You Spend More Than The Average American?
03/04/2016,Craig Birk,Market Recap – Overseas Stocks Rise And A Strong US Jobs Report
03/03/2016,Bill Harris,Personal Capital Crosses $2 Billion In Assets Under Management
03/02/2016,Gene Salo,10 Overlooked Tax Deductions That Will Save You Money
02/26/2016,Craig Birk,Market Recap – US Stocks Up For The Week
02/24/2016,Catherine Alford,Is Organic Food Really Worth The Price?
02/19/2016,Craig Birk,Market Recap – Stocks Post Best Week Since November
02/19/2016,Marianne Ahlmann,Nobel Prize Winner Harry Markowitz Answers Your Top Ten Questions about Money
02/17/2016,Stefanie O'Connell,Top 4 Retirement Planning Tips for the Self-Employed
02/12/2016,Craig Birk,Market Recap – US Bank Stocks Hit Hard This Week
02/12/2016,Bill Harris,Tips from the Presidents: How to Create a Solid Financial Plan
02/11/2016,Holly Johnson,Tired Of Valentine’s Day? 7 Better Ways To Spend Your Money
02/10/2016,Annalise Moberg,Financial Tips for Couples At Any Stage
02/05/2016,Craig Birk,Market Recap – Low Earnings From Growth Stocks Highlight Market Sensitivity
02/05/2016,Marianne Ahlmann,Sign Up For Personal Capital And You Could Win A Trip To Hawaii
02/03/2016,Julie Mayfield,How Much Should You Spend On An Engagement Ring?
01/29/2016,Craig Birk,Market Recap – Plummeting Oil Prices & Slowdown In China Fuel Uncertainty
01/27/2016,Marianne Ahlmann,Personal Capital Launches Financial Fitness Program In Silicon Valley
01/27/2016,Catherine New,Pay Off Student Loans or Save for Retirement? How You Can Do Both
01/22/2016,Craig Birk,Market Recap – International Stocks Rise 2.4%
01/20/2016,Erin Lowry,What Do Your Finances Say About You? How To Get Rid of Debt Based on Your Spending Habits
01/15/2016,Brendan Erne,Market Recap – 3 Questions To Ask During Volatile Markets
01/14/2016,Gregory DePalma,Financial Advisors Answer Your Top 5 Questions About Student Loans & College
01/11/2016,Marianne Ahlmann,Can You Afford a Pet? The Real Cost of Owning Cats and Dogs
